filename,1.25db,2.5db,5db,10db
4556872.wav, 0.014246301873374773,0.031821239006293134,0.11936605991543467,0.5273209412712216
4548024.wav, 0.008862236533093069,0.020193590633600676,0.07180380977701628,0.302505058860021
4557220.wav, 0.016527104451300133,0.05772931021509422,0.21470186715970288,0.49594212557374584
4615360.wav, 0.00753754142826693,0.014941342171363612,0.036375376668101596,0.13865983474666588
4558935.wav, 0.021753398683674773,0.06854493190478216,0.19148399564871255,0.5320330114433999
4538479.wav, 0.014280487880497801,0.031757498341280714,0.07302395376668795,0.19531962125392976
4556985.wav, 0.012797006392252622,0.02983606830626141,0.05735525756527682,0.3430397786463759
4611196.wav, 0.002074735821289396,0.009539899201675979,0.03357299783541023,0.2243151267102607
4563858.wav, 0.012957594096814275,0.030285100879899246,0.09547456237479819,0.3547785882730815
4627136.wav, 0.014124978837697725,0.0562551189893342,0.23809305922241694,0.5678657875350608
4601109.wav, 0.00866419328755762,0.03935740674780113,0.1644714777096891,0.551535375647702
4604448.wav, 0.014863460193439443,0.06336243039696432,0.2345231056961463,0.48564081162646017
4611170.wav, 0.02284169820522155,0.04923105454395593,0.1176805940009204,0.3007988240869846
4678282.wav, 0.011775066118215353,0.024990103781216116,0.05573722527236115,0.2395200477313277
4611681.wav, 0.012558280054544416,0.029048167291314538,0.129714458352726,0.4999265120152855
4538807.wav, 0.016278827391739862,0.02061849700942047,0.13200238551552032,0.36303551059875283
3981803.wav, 0.007494738426104931,0.027267179273892352,0.17814111259036636,0.6050318829433046
4549873.wav, 0.009016469261636179,0.026928277885204095,0.13795374159248378,0.4929634540080783
4611166.wav, 0.004164078246692474,0.005553008580442667,0.012499016626472686,0.11236500655130226
4548851.wav, 0.006564848889659587,0.02686846110864916,0.11674362943124623,0.43769548435161815
4602258.wav, Mute Percentage can't be calculated.,Mute Percentage can't be calculated.,Mute Percentage can't be calculated.,Mute Percentage can't be calculated.
4527615.wav, 0.020790913826109897,0.041578445365929556,0.11777797319876343,0.3100508019400794
4528104.wav, 0.018928780869225257,0.040422046188645526,0.1382680654199518,0.3883029721955896
4681961.wav, 0.00907994252227853,0.03198528759557445,0.12117036940671401,0.2515152948689898
4543166.wav, 0.011680886228614821,0.024941132927910968,0.047830692557542964,0.16589666196580924
4539311.wav, 0.007893831307232846,0.015803070222742657,0.0463332460235531,0.19018381276674423
4549587.wav, 0.011931068408436078,0.03806151371526287,0.1217078293732285,0.4506125604166504
4604460.wav, 0.013104789967831758,0.053930868144338985,0.19154893924440183,0.43617974396241066
4540170.wav, 0.029760636408835854,0.0561700533999703,0.17523519878090515,0.4876669959772453
4558245.wav, 0.027869193196383413,0.09010783445258798,0.31649090162271304,0.6429363237310027
4527627.wav, 0.02566450659012048,0.06490219715083018,0.23031788423499325,0.6410199202125888
4539191.wav, 0.012702329141107799,0.016574711855887964,0.04477799481397713,0.2986970212733552
4549612.wav, 0.007504596749085056,0.03478843205329292,0.138536912042014,0.5074429151319693
4615315.wav, 0.012410824062274608,0.025810104301746333,0.0678820878287224,0.26701583398420714
4556980.wav, 0.027254662415280656,0.08174117575493361,0.2491394998707349,0.6163208613618967
4548868.wav, 0.01905596653784459,0.03980737602284956,0.12105665689784702,0.3848553966524308
4557108.wav, 0.012158780647997872,0.03583583474914373,0.15572195474111025,0.4977500827774129
4740140.wav, 0.01032510395183843,0.0273478432079237,0.11102990742780103,0.41817004718712664
4627330.wav, 0.051500795852757804,0.11601834550704943,0.27032570195471506,0.5285752033671177
4540173.wav, 0.015375088382496337,0.04139073612799172,0.14074652593246423,0.49234480495773814
4539186.wav, 0.008110273204833025,0.036900374320301764,0.18535626705549105,0.5136775312726026
4549825.wav, 0.015222621558202394,0.04901153736808829,0.2331214542430273,0.7357862086231113
4557174.wav, 0.011816284749422352,0.02195393294669835,0.1501589767558209,0.5788728778413392
4567568.wav, 0.011305050199092568,0.03089247739305479,0.14044702749433643,0.405180192971496
4602160.wav, 0.011008612733072225,0.0328847634487277,0.0770650713264374,0.4869756921031615
4550627.wav, 0.02014133340391181,0.06004464088787726,0.12795878216834733,0.3656273985654924
4538817.wav, 0.011314785562483224,0.038340028776471934,0.17547707782407632,0.5509858361677131
4608228.wav, 0.03717729230795504,0.08419538144294686,0.22414816269548177,0.47883054617489723
4611687.wav, 0.02419797757890996,0.07190305898024052,0.19632867697675632,0.5503331353491273
4611193.wav, 0.0074367310002198764,0.037763329329522144,0.20240083298655845,0.5013819508676035
4611168.wav, 0.007146619045792075,0.010719928568688112,0.02589210663076499,0.20441981242304916
4604441.wav, 0.013447344379522705,0.03195223103668115,0.12108196570467109,0.4172653122925553
4539154.wav, 0.024723513156177473,0.08571234019372521,0.2660231857412798,0.5750897979333708
4559183.wav, 0.01127917420564154,0.027600241247195935,0.10576476662804976,0.37901843631898435
4611186.wav, Mute Percentage can't be calculated.,Mute Percentage can't be calculated.,Mute Percentage can't be calculated.,Mute Percentage can't be calculated.
4557172.wav, 0.020963639828016137,0.04256931960334358,0.11667729829590172,0.3969298063938894
4567440.wav, 0.018587706133330915,0.05456837256119955,0.19332665303401966,0.5533940303515319
4678260.wav, 0.01534750276042198,0.03794305327060117,0.12011937439303974,0.3988776501159599
4616841.wav, 0.0142992744894504,0.02133511704200412,0.059561807170730896,0.16767786665482462
4611200.wav, 0.01247286215434741,0.025666155009427257,0.09407948752064747,0.35652233172913106
4614381.wav, 0.012799642263187777,0.03345743585105688,0.13633942792256404,0.5646966020027232
4527656.wav, 0.009285947992459062,0.02523773169427003,0.08650525320827426,0.4055227500532332
4740040.wav, 0.023554584816361367,0.0569660580448035,0.198066852582321,0.5323445821194978
4527602.wav, 0.006133161765148007,0.03853970620952564,0.11073964728306947,0.4078702896415708
4608275.wav, 0.012976602408127804,0.031428665259487266,0.13416370850487686,0.5597658150942382
4601467.wav, 0.007259613843867701,0.02064537022512562,0.08069995226601492,0.31702197281355576
4540177.wav, 0.033585346958229394,0.14270762870793335,0.41279651592255495,0.7060375170543233
4550806.wav, 0.009517484427638731,0.02320188100198705,0.10242944903566513,0.3491770616306659
4527780.wav, 0.011867695268875862,0.022448780035922166,0.08697744314468192,0.31759980237662694
4624562.wav, 0.007520467493051742,0.03540362776620317,0.21900322365635572,0.5760430771036559
4563844.wav, 0.01102581910035708,0.026793232089189902,0.08641193787682304,0.3286849528913582
4559290.wav, 0.014215545046342818,0.057329473188624754,0.1581628709357806,0.41753156862882884
4557029.wav, 0.020578706428213023,0.10459087276759442,0.39307992987629237,0.7468329730098062
4548013.wav, 0.03205377698909551,0.0691705862562587,0.3054707135742039,0.6890902374182823
4556868.wav, 0.023457624014012753,0.04978877834892214,0.1288051380095937,0.39251737283769705
4624558.wav, 0.00910014404750628,0.03660472515017198,0.3059849942348334,0.7023655148310136
4527484.wav, 0.03349989279288518,0.04783767910579944,0.09773559928777187,0.28411749899784655
4611197.wav, 0.006439000835298264,0.02587282827319121,0.14904816886654504,0.5144025670331724
4611165.wav, 0.02017445105626141,0.06053754387292697,0.1710421337773447,0.48917091599418494
4556997.wav, 0.013727395242423293,0.026351136562062064,0.08479554419316854,0.3129161088699748
4539195.wav, 0.007866074313982436,0.027953861834091532,0.16016428198544688,0.6330591748967467
4626750.wav, 0.011365778472661145,0.04168191344266658,0.11995239309699907,0.48187204535962064
4607325.wav, 0.01153485446652702,0.02160398497211755,0.09443249526868798,0.43521612408673044
4556999.wav, 0.014767997891946771,0.024707623867502655,0.06831022483317704,0.22855714606793823
4549576.wav, 0.012729764189682788,0.044423723507071584,0.1673472813978919,0.5849588681830763
4681887.wav, 0.009080396020910281,0.04327594412911194,0.13779702551636516,0.4393066880646976
4601492.wav, 0.008211718322716203,0.02306520977851575,0.06383066626270416,0.19250518396688557
4549860.wav, 0.013545576118372805,0.05656692022681411,0.1953204012864942,0.5064875928082865
4601101.wav, 0.011763676310056238,0.027122321046110478,0.10718118548747403,0.4123827202004523
4551038.wav, 0.012498039152048206,0.027727742347283754,0.08312913468456042,0.1966771064916238
4527674.wav, 0.01662511931349563,0.03557627260006116,0.08548406527722432,0.3321641383017172
4547015.wav, 0.012610264525349205,0.032256651462801635,0.08272508747241676,0.3332575877872627
4550668.wav, 0.029336235378857867,0.06275412471488447,0.2004499214464296,0.5495853102213593
4611169.wav, 0.018472353405695,0.055512544580875255,0.17963963684973858,0.5878688406133709
4548039.wav, 0.013948064558575973,0.04889989972276293,0.16027342562469088,0.4727527235932828
4611682.wav, 0.017496262665411662,0.04914518083777815,0.18798946779125064,0.5701603824077662
